Journal,Quartile,IF
arethusa,,0.2
argentinian journal of applied linguistics,Q4,0.1
argument computation,Q4,1.7
argumenta,Q3,0.3
argumenta oeconomica,Q4,0.7
argumentation,Q1,2.2
argumentation and advocacy,Q3,0.7
argumentation et analyse du discours,,0.2
argumentos de razon tecnica,Q3,0.4
argumentos revista de filosofia,,<0.1
arheologia,,0.2
arheoloski vestnik,,0.9
arhiv za higijenu rada i toksikologiju archives of industrial hygiene and toxicology,Q3,1.7
arid ecosystems,Q4,0.6
arid land research and management,Q4,1.8
ariel a review of international english literature,,0.2
aries journal for the study of western esotericism,,1.2
arion a journal of humanities and the classics,,0.1
aristonothos scritti per il mediterraneo antico,Q4,<0.1
arizona quarterly,,0.2
arkiv for matematik,Q3,0.7
arkivoc,Q4,0.6
armed forces society,Q3,1.3
armenian journal of mathematics,Q3,0.7
arms armour,,0.2
aro the scientific journal of koya university,Q3,1.1
arp rheumatology,Q4,1.3
arq,,0.1
arq architectural research quarterly,,0.2
arqueologia,,0.5
arqueologia de la arquitectura,,0.1
arqueologia iberoamericana,,0.4
arqueologia y territorio medieval,,0.2
arquitecturas del sur,,0.3
arquitetura revista,,0.1
arquivo brasileiro de medicina veterinaria e zootecnia,Q4,0.5
arquivo maaravi revista digital de estudos judaicos da ufmg,,<0.1
arquivos brasileiros de cardiologia,Q3,2.3
arquivos brasileiros de oftalmologia,Q4,1
arquivos de neuro psiquiatria,Q3,1.9
arrancada,Q4,<0.1
array,Q1,5.3
arrhythmia electrophysiology review,Q2,4.3
ars adriatica,,0.1
ars bilduma,,<0.1
ars brevis,,<0.1
ars humanitas journal of arts and humanities,,0.2
ars judaica the bar ilan journal of jewish art,,<0.1
ars mathematica contemporanea,Q2,0.8
ars orientalis,,0.2
ars pharmaceutica,Q4,0.7
art and interpretation,,0.1
art bulletin,,0.5
art design communication in higher education,,0.5
art documentation,,<0.1
art history,,0.4
art in america,,<0.1
art journal,,0.4
art perception,,1
art sanat,,0.2
art style,,0.1
art therapy,Q3,1.6
artcultura revista de historia cultura e arte,,0.1
arte individuo y sociedad,,0.6
arte y ciudad revista de investigacion,,<0.1
arte y politicas de identidad,,0.2
arterial hypertension,Q4,0.9
arteriosclerosis thrombosis and vascular biology,Q1,8.8
artery research,Q3,1.6
arteterapia papeles de arteterapia y educacion artistica para la inclusion social,Q4,0.6
arthritis care research,Q1,4.1
arthritis research therapy,Q1,5.4
arthritis rheumatology,Q1,9.9
arthroplasty,Q1,4.8
arthroplasty today,Q2,2.1
arthropod plant interactions,Q2,1.7
arthropod structure development,Q2,1.4
arthropod systematics phylogeny,Q2,2
arthropoda selecta,Q3,0.8
arthroscopy techniques,Q3,1.5
arthroscopy the journal of arthroscopic and related surgery,Q1,6.9
arthroskopie,Q4,0.4
arthur miller journal,,0.1
arthuriana,,0.1
arti musices,,0.1
artibus asiae,,0.1
artifara revista de lenguas y literaturas ibericas y latinoamericanas,,0.1
artificial cells nanomedicine and biotechnology,Q1,5.6
artificial intelligence,Q2,4.7
artificial intelligence and law,Q1,5.3
artificial intelligence chemistry,Q1,6.3
artificial intelligence for the earth systems,Q2,4.5
artificial intelligence in agriculture,Q1,16.1
artificial intelligence in geosciences,Q1,5.4
artificial intelligence in medicine,Q1,7.8
artificial intelligence in the life sciences,Q2,5.1
artificial intelligence review,Q1,18.8
artificial intelligence surgery,Q1,3.9
artificial life,Q3,1.8
artificial life and robotics,Q4,0.8
artificial organs,Q2,2.2
artificial satellites journal of planetary geodesy,Q4,0.7
artmargins,,0.2
artnodes,,0.5
arts,,0.5
arts and humanities in higher education,Q4,0.6
arts and the market,Q4,1.1
arts health,Q3,1.5
arts in psychotherapy,Q2,1.7
arts of asia,,<0.1
arya atherosclerosis,Q4,0.8
arys antiguedad religiones y sociedades,Q3,0.1
asaio journal,Q2,2.2
asce asme journal of risk and uncertainty in engineering systems part a civil engineering,Q2,2.9
asce asme journal of risk and uncertainty in engineering systems part b mechanical engineering,Q3,1.5
aschkenas zeitschrift fuer geschichte und kultur der juden,,0.1
asclepio revista de historia de la medicina y de la ciencia,Q4,0.2
ashrae journal,Q4,0.7
asia and the global economy,Q2,2.5
asia europe journal,Q2,1.8
asia marketing journal,Q4,0.8
asia pacific allergy,Q2,2.8
asia pacific business review,Q3,2.4
asia pacific economic history review,Q3,0.5
asia pacific education researcher,Q1,4.5
asia pacific education review,Q2,2.2
asia pacific financial markets,Q2,2.3
asia pacific journal japan focus,Q4,0.3
asia pacific journal of accounting economics,Q2,2.1
asia pacific journal of anthropology,Q3,0.5
asia pacific journal of atmospheric sciences,Q3,2.3
asia pacific journal of business administration,Q1,5.6
asia pacific journal of chemical engineering,Q3,1.7
asia pacific journal of clinical nutrition,Q4,1.6
asia pacific journal of clinical oncology,Q3,2.1
asia pacific journal of counselling and psychotherapy,Q4,0.8
asia pacific journal of education,Q1,4.1
asia pacific journal of environmental law,Q2,0.8
asia pacific journal of financial studies,Q3,1.4
asia pacific journal of health management,Q4,0.6
asia pacific journal of human resources,Q1,4.7
asia pacific journal of innovation and entrepreneurship,Q2,4.1
asia pacific journal of management,Q1,9.7
asia pacific journal of marketing and logistics,Q2,5.5
asia pacific journal of ocean law and policy,Q2,0.9
asia pacific journal of oncology nursing,Q1,3.3
asia pacific journal of operational research,Q4,1.3
asia pacific journal of ophthalmology,Q1,7
asia pacific journal of public administration,Q1,4.1
asia pacific journal of public health,Q4,0.9
asia pacific journal of regional science,Q2,1.9
asia pacific journal of social work and development,Q2,1.5
asia pacific journal of sports medicine arthroscopy rehabilitation and technology,Q3,1.7
asia pacific journal of teacher education,Q1,2.9
asia pacific journal of tourism research,Q1,5.2
asia pacific language variation,Q2,1.4
asia pacific law review,Q1,2.4
asia pacific management accounting journal,Q4,0.4
asia pacific management review,Q1,7.5
asia pacific psychiatry,Q2,3.8
asia pacific review,Q4,0.6
asia pacific scholar,Q4,0.5
asia pacific science education,Q2,1.6
asia pacific translation and intercultural studies,Q3,0.9
asia pacific viewpoint,Q1,1.6
asia policy,Q2,0.9
asia the pacific policy studies,Q1,1.6
asian academy of management journal,Q4,0.9
asian academy of management journal of accounting and finance,Q4,0.9
asian affairs,Q2,0.7
asian american journal of psychology,Q1,2.1
asian and african studies,,0.1
asian and pacific migration journal,Q3,1.2
asian bioethics review,Q2,1.8
asian biomedicine,Q4,1.4
asian biotechnology and development review,Q4,0.2
asian business management,Q2,3.3
asian cardiovascular thoracic annals,Q4,0.7
asian case research journal,Q4,<0.1
asian cinema,,0.2
asian development review,Q3,1.4
asian diasporic visual cultures and the americas,,0.1
asian economic journal,Q3,0.8
asian economic papers,Q4,0.7
asian economic policy review,Q1,4.8
asian education and development studies,Q2,1.9
asian englishes,Q2,1.2
asian ethnicity,Q3,0.7
asian ethnology,,0.3
asian european journal of mathematics,Q3,0.5
asian geographer,Q1,2.9
asian herpetological research,Q1,2.2
asian journal of accounting and governance,Q4,0.1
asian journal of agriculture and biology,Q1,5.8
asian journal of agriculture and development,Q4,0.8
asian journal of andrology,Q2,3
asian journal of applied economics,Q4,0.6
asian journal of atmospheric environment,Q3,2.7
asian journal of business and accounting,Q4,0.9
asian journal of business ethics,Q2,1.6
asian journal of communication,Q2,2.1
asian journal of comparative politics,Q3,1.1
asian journal of control,Q3,2
asian journal of criminology,Q2,1.8
asian journal of endoscopic surgery,Q4,1.1
asian journal of international law,Q1,2.2
asian journal of law and economics,Q3,0.5
asian journal of law and society,Q1,1.5
asian journal of management cases,Q4,0.4
asian journal of mathematics,Q3,0.6
asian journal of middle eastern and islamic studies,Q2,0.8
asian journal of organic chemistry,Q2,2.3
asian journal of pharmaceutical research and health care,Q4,0.3
asian journal of pharmaceutical sciences,Q1,12.6
asian journal of pharmaceutics,Q4,0.3
asian journal of philosophy,,0.6
asian journal of political science,Q3,1
asian journal of psychiatry,Q1,4.9
asian journal of shipping and logistics,Q3,3.1
asian journal of social health and behavior,Q2,1.7
asian journal of social psychology,Q4,1.2
asian journal of social science,Q2,1
asian journal of surgery,Q1,5.2
asian journal of technology innovation,Q2,1.9
asian journal of transfusion science,Q4,0.7
asian journal of urology,Q2,2.7
asian journal of water environment and pollution,Q4,0.7
asian journal of womens studies,Q2,1.8
asian journal of wto international health law and policy,Q3,0.5
asian languages and linguistics,Q4,<0.1
asian music,,0.2
asian myrmecology,Q3,0.9
asian nursing research,Q1,2.9
asian oncology nursing,Q4,0.4
asian pacific economic literature,Q3,1.1
asian pacific journal of allergy and immunology,Q3,2.1
asian pacific journal of reproduction,Q4,1.1
asian pacific journal of second and foreign language education,Q1,3.3
asian pacific journal of tropical biomedicine,Q3,1.9
asian pacific journal of tropical medicine,Q3,1.8
asian perspective,Q3,1
asian perspectives the journal of archaeology for asia and the pacific,,1.1
asian philosophy,,0.5
asian politics policy,Q3,0.9
asian population studies,Q3,1.5
asian review of accounting,Q2,3.3
asian review of world histories,Q3,0.2
asian social work and policy review,Q4,0.8
asian spine journal,Q2,2.7
asian studies azijske studije,,0.6
asian studies review,Q2,1.1
asian survey,Q1,1.9
asian theatre journal,,0.5
asian transport studies,Q4,1.9
asian women,Q3,0.7
asianetwork exchange a journal for asian studies in the liberal arts,,<0.1
asiascape digital asia,Q3,0.6
asiatic iium journal of english language and literature,,0.3
aslib journal of information management,Q1,3.5
asme journal of heat and mass transfer,Q3,2
asme open journal of engineering,Q2,2
asn neuro,Q2,4.4
aspasia,Q1,0.5
aspects of molecular medicine,Q3,3.4
asr chiang mai university journal of social sciences and humanities,Q3,0.5
assay and drug development technologies,Q3,1.8
assessing writing,Q1,7.6
assessment,Q2,3
assessment evaluation in higher education,Q1,6.9
assessment for effective intervention,Q3,0.9
assessment in education principles policy practice,Q1,2.9
assistenza infermieristica e ricerca,Q4,0.9
assistive technology,Q1,2.7
asta advances in statistical analysis,Q2,1.6
asterion philosophie histoire des idees pensee politique,,0.1
asterisque,Q3,0.5
asthma allergy immunology,Q4,0.4
astin bulletin the journal of the international actuarial association,Q2,1.7
astrobiology,Q2,2.3
astrodynamics,Q1,8.1
astrolabio nueva epoca,Q4,0.2
astronomical journal,Q1,5.8
astronomische nachrichten,Q4,1
astronomy and astrophysics review,Q1,20.1
astronomy and computing,Q2,2.6
astronomy astrophysics,Q1,6.1
astronomy geophysics,Q4,0.5
astronomy letters a journal of astronomy and space astrophysics,Q4,0.9
astronomy reports,Q4,0.8
astroparticle physics,Q1,4.9
astrophysical bulletin,Q4,1
astrophysical journal,Q1,5.7
astrophysical journal letters,Q1,11.1
astrophysical journal supplement series,Q1,7.7
astrophysics,Q4,0.9
astrophysics and space science,Q3,2.1
asymptotic analysis,Q3,1
at automatisierungstechnik,Q4,0.9
ata journal of legal tax research,Q4,0.8
atalanta revista de las letras barrocas,,0.4
atalante revista de estudios cinematograficos,,<0.1
atelie geografico,Q4,0.3
atelier,,<0.1
atelier du centre de recherches historiques,Q4,<0.1
ateliers de l ethique the ethics forum,Q4,<0.1
atenas,Q4,0.1
atencion primaria,Q2,1.6
atenea,,0.2
athenaeum studi periodici di letteratura e storia dell antichita,,0.1
athenea digital,Q4,0.4
atherosclerosis,Q1,7.1
atherosclerosis plus,Q2,3.4
atla alternatives to laboratory animals,Q3,3
atlantic economic journal,Q4,0.4
atlantic geology,Q2,1.3
atlantic journal of communication,Q3,1
atlantic law journal,Q4,0.1
atlantic studies global currents,Q1,0.5
atlantis critical studies in gender culture social justice,Q4,0.3
atlantis journal of the spanish association of anglo american studies,Q4,0.2
atmosfera,Q4,1
atmosphere,Q3,2.6
atmosphere korea,Q4,0.6
atmosphere ocean,Q3,1.5
atmospheric and oceanic optics,Q4,0.7
atmospheric and oceanic science letters,Q2,3.4
atmospheric chemistry and physics,Q1,5.7
atmospheric environment,Q2,3.8
atmospheric environment x,Q2,3.4
atmospheric measurement techniques,Q2,3.7
atmospheric pollution research,Q2,3.9
atmospheric research,Q2,4.5
atmospheric science letters,Q3,2.4
atom indonesia,Q3,1.2
atomic data and nuclear data tables,Q1,3.5
atomic energy,Q4,0.3
atomic spectroscopy,Q2,2.9
atomization and sprays,Q3,1
atoms,Q4,1.5
atoz novas praticas em informacao e conhecimento,Q4,0.1
atp magazine,Q4,0.2
ats scholar,Q3,1.9
attachment human development,Q3,1.9
attention perception psychophysics,Q3,2
atti accademia peloritana dei pericolanti classe di scienze fisiche matematiche e naturali,Q4,0.5
atw international journal for nuclear power,Q4,0.1
auc geographica,Q3,0.9
audiology and neurotology,Q3,1.4
audiology research,Q2,1.7
auditing a journal of practice theory,Q1,3.7
auditory and vestibular research,Q4,0.3
aufklarung revista de filosofia,,<0.1
augenheilkunde up2date,Q4,0.1
augmentative and alternative communication,Q2,2.3
augustinian studies,Q2,0.4
aula abierta,Q3,1
aula de encuentro,Q4,0.3
aula orientalis,,0.3
auris nasus larynx,Q2,1.8
ausart,,0.1
auster,,<0.1
austral comunicacion,Q3,0.9
austral ecology,Q3,1.6
austral entomology,Q3,1.2
austral journal of veterinary sciences,Q4,0.5
australasian accounting business and finance journal,Q3,1
australasian agribusiness review,Q4,0.8
australasian catholic record,,0.3
australasian dispute resolution journal,Q3,0.3
australasian drama studies,,0.2
australasian emergency care,Q1,2.7
australasian journal of combinatorics,Q3,0.5
australasian journal of dermatology,Q3,1.6
australasian journal of early childhood,Q3,1.3
australasian journal of educational technology,Q1,6.3
australasian journal of environmental management,Q3,2.4
australasian journal of information systems,Q4,1.4
australasian journal of logic,Q2,0.9
australasian journal of philosophy,,0.9
australasian journal of regional studies,Q4,0.1
australasian journal of special and inclusive education,Q2,1.7
australasian journal of water resources,Q3,2.3
australasian journal on ageing,Q3,1.8
australasian marketing journal,Q1,8.4
australasian orthodontic journal,Q3,1.5
australasian parliamentary review,Q4,0.5
australasian plant disease notes,Q4,0.6
australasian plant pathology,Q3,1.2
australasian psychiatry,Q3,1.7
australian accounting review,Q2,2.8
australian and new zealand journal of art,,0.2
australian and new zealand journal of family therapy,Q4,0.8
australian and new zealand journal of psychiatry,Q1,4.1
australian and new zealand journal of public health,Q2,2.9
australian archaeology,Q3,0.8
australian business law review,Q4,0.2
australian community psychologist,Q4,<0.1
australian critical care,Q1,3.6
australian dental journal,Q1,3.3
australian economic papers,Q3,1.3
australian economic review,Q3,0.9
australian educational researcher,Q1,3
australian endodontic journal,Q3,1.7
australian farm business management journal,Q4,0.3
australian feminist law journal,Q2,1.1
australian feminist studies,Q3,1.2
australian forestry,Q2,2
australian geographer,Q2,2.2
australian geomechanics journal,Q4,0.3
australian health review,Q4,1.3
australian historical studies,Q2,0.4
australian humanities review,,0.4
australian intellectual property journal,Q4,0.1
australian journal of administrative law,Q3,0.5
australian journal of adult learning,Q4,0.4
australian journal of advanced nursing,Q3,1.7
australian journal of agricultural and resource economics,Q2,2.4
australian journal of anthropology,Q3,0.7
australian journal of botany,Q3,1.3
australian journal of career development,Q2,2.8
australian journal of chemistry,Q4,1.1
australian journal of civil engineering,Q3,1.8
australian journal of competition and consumer law,Q4,<0.1
australian journal of earth sciences,Q3,1.8
australian journal of education,Q2,1.7
australian journal of emergency management,Q4,1.4
australian journal of english education,Q4,0.2
australian journal of environmental education,Q2,1.9
australian journal of forensic sciences,Q4,1
australian journal of french studies,,<0.1
australian journal of general practice,Q2,2
australian journal of grape and wine research,Q1,3.3
australian journal of indigenous education,Q3,0.8
australian journal of international affairs,Q1,3.2
australian journal of language and literacy,Q2,1.7
australian journal of learning difficulties,Q4,1.1
australian journal of linguistics,Q2,1.4
australian journal of management,Q2,3.1
australian journal of mechanical engineering,Q4,1.2
australian journal of otolaryngology,Q4,0.4
australian journal of political science,Q2,1.8
australian journal of politics and history,Q2,0.4
australian journal of primary health,Q4,1.4
australian journal of psychology,Q3,1.6
australian journal of public administration,Q2,2.5
australian journal of rural health,Q2,2.4
australian journal of social issues,Q2,1.8
australian journal of structural engineering,Q3,1.3
australian journal of teacher education,Q4,0.6
australian journal of zoology,Q3,1.2
australian journalism review,Q3,1.3
australian law journal,Q4,0.2
australian literary studies,,0.1
australian mammalogy,Q2,1.4
australian new zealand journal of obstetrics gynaecology,Q3,1.5
australian new zealand journal of statistics,Q4,0.5
australian occupational therapy journal,Q2,2.1
australian planner,Q4,1.2
australian prescriber,Q2,4.3
australian psychologist,Q2,1.9
australian review of applied linguistics,Q3,0.7
australian social work,Q1,2.3
australian systematic botany,Q3,1.8
australian tax review,Q4,0.1
australian universities review,Q4,0.4
australian veterinary journal,Q2,1.6
austrian history yearbook,Q1,0.7
austrian journal of clinical endocrinology and metabolism,Q4,0.1
austrian journal of earth sciences,Q3,1.3
austrian journal of forest science,Q4,0.6
austrian journal of statistics,Q3,0.8
austrian studies,,0.1
aut aut,,<0.1
autex research journal,Q3,1.4
autism,Q1,5.7
autism developmental language impairments,Q1,2.8
autism in adulthood,Q1,4.2
autism research,Q1,3.9
autoimmunity,Q2,4.3
autoimmunity reviews,Q1,9.8
automated software engineering,Q2,3.9
automatic control and computer sciences,Q4,0.5
automatic documentation and mathematical linguistics,Q4,0.4
automatica,Q1,6.2
automatika,Q3,1.6
automation,Q2,2.9
automation and remote control,Q4,0.5
automation in construction,Q1,12.6
automotive innovation,Q1,7.6
autonomic neuroscience basic clinical,Q3,2.7
autonomous agents and multi agent systems,Q2,2.4
autonomous robots,Q1,6
autophagy,Q1,18.6
avances,Q4,0.2
avances de investigacion en educacion matematica,Q3,0.9
avances del cesor,Q3,0.1
avances en biomedicina,Q4,<0.1
avances en ciencias e ingenieria,,N/A
avances en psicologia latinoamericana,Q4,0.3
avant,,0.2
avant scene opera,,<0.1
avian biology research,Q3,0.8
avian conservation and ecology,Q2,1.3
avian diseases,Q3,1.3
avian pathology,Q1,2.7
avian research,Q1,2.2
aviation,Q2,2.2
avicenna,Q1,3.1
avicenna journal of phytomedicine,Q3,3
avs quantum science,Q3,3.2
awwa water science,Q3,1.9
axioms,Q2,1.5
ayer,Q2,0.4
ayna klinik psikoloji dergisi ayna clinical psychology journal,Q4,0.2
azafea revista de filosofia,,0.1
azania archaeological research in africa,,1.4
azerbaijan journal of mathematics,Q3,0.6
b e journal of economic analysis policy,Q4,0.7
b e journal of macroeconomics,Q4,0.3
b e journal of theoretical economics,Q4,0.5
b ent,Q4,0.2
babel litteratures plurielles,,<0.1
babel revue internationale de la traduction international journal of translation,Q3,0.6
bach,,0.1
bagh e nazar,,0.2
baghdad science journal,Q3,1.4
bahrain medical bulletin,Q4,0.4
bajo palabra journal of philosophy,,0.3
balcanica,,0.2
balgarsko e spisanie za arheologia bulgarian e journal of archaeology,,0.4
bali medical journal,Q4,0.1
balint journal,Q4,0.1
balkan arast rma enstitusu dergisi journal of balkan research institute jbri,Q4,0.1
balkan journal of medical genetics,Q4,1
balkan journal of philosophy,,0.2
balkan medical journal,Q1,4.5
balkanistic forum,,0.1
balneo and prm research journal,,N/A
baltic forestry,Q3,1.1
baltic journal of art history,,0.1
baltic journal of economic studies,Q4,0.5
baltic journal of economics,Q4,0.6
baltic journal of english language literature and culture,,0.3
baltic journal of health and physical activity,Q3,1.3
baltic journal of management,Q3,2.9
baltic journal of modern computing,Q4,0.7
baltic journal of road and bridge engineering,Q4,0.9
baltic region,Q2,0.9
baltica,Q2,1.1
bamboo and silk,,0.3
banach journal of mathematical analysis,Q1,1.3
bandung,Q3,0.5
bangladesh journal of botany,Q4,0.4
bangladesh journal of medical science,Q3,0.8
bangladesh journal of otorhinolaryngology,Q4,<0.1
bangladesh journal of pharmacology,Q4,0.7
bangladesh journal of plant taxonomy,Q4,0.7
banks and bank systems,Q3,1.3
barataria revista castellano manchega de ciencias sociales,Q4,0.2
bariatric surgical practice and patient care,Q4,0.1
basic and applied ecology,Q1,4.2
basic and applied social psychology,Q4,1.1
basic and clinical andrology,Q2,2.3
basic and clinical neuroscience,Q4,1.1
basic clinical pharmacology toxicology,Q2,3.6
basic income studies,Q3,1.3
basic research in cardiology,Q1,9.2
basiliade revista de filosofia,,<0.1
basin research,Q2,2.8
batteries basel,Q1,6.3
batteries supercaps,Q2,4.5
battery energy,Q1,11.1
bauingenieur,Q4,0.7
bauphysik,Q4,0.3
bautechnik,Q4,0.6
bayesian analysis,Q1,3
bba advances,Q1,4.5
bdj open,Q1,3.1
behavior analysis in practice,Q3,1.9
behavior and social issues,Q3,1.1
behavior genetics,Q2,2.4
behavior modification,Q2,2.2
behavior research methods,Q1,5
behavior therapy,Q1,4.4
behavioral and brain functions,Q2,2.9
behavioral and brain sciences,Q1,8.2
behavioral disorders,Q3,1.2
behavioral ecology,Q1,2.2
behavioral ecology and sociobiology,Q1,2
behavioral interventions,Q4,0.9
behavioral medicine,Q4,1.2
behavioral neuroscience,Q3,1.9
behavioral psychology psicologia conductual,Q3,1.3
behavioral research in accounting,Q3,1.8
behavioral sciences,Q1,3.2
behavioral sciences of terrorism and political aggression,Q2,1.5
behavioral sciences the law,Q1,1.9
behavioral sleep medicine,Q3,2
behaviour,Q2,1.3
behaviour information technology,Q1,4.2
behaviour research and therapy,Q1,4.3
behavioural and cognitive psychotherapy,Q2,2.3
behavioural brain research,Q2,2.9
behavioural neurology,Q1,4
behavioural pharmacology,Q4,1.4
behavioural processes,Q2,1.6
behavioural public policy,Q2,2.9
beilstein journal of nanotechnology,Q2,3.5
beilstein journal of organic chemistry,Q2,2.7
beitrage zur algebra und geometrie contributions to algebra and geometry,Q4,0.4
beitrage zur geschichte der deutschen sprache und literatur,,0.2
belgian journal of zoology,Q3,1.1
belitung nursing journal,Q2,2.1
belleten,Q2,0.4
belphegor,,0.1
ben jonson journal,,0.3
benchmarking an international journal,Q2,4.8
beneficial microbes,Q2,3.5
beni suef university journal of basic and applied sciences,Q2,3.1
bereavement journal of grief and responses to death,Q3,0.9
berichte uber landwirtschaft,Q4,0.3
berichte zur wissenschaftsgeschichte,Q3,0.4
berkeley review of education,Q4,0.2
berliner journal fur soziologie,Q3,1.2
berliner und munchener tierarztliche wochenschrift,Q4,0.6
bernoulli,Q2,1.8
best practice research clinical anaesthesiology,Q2,3.3
best practice research clinical endocrinology metabolism,Q1,6.9
best practice research clinical gastroenterology,Q1,5.2
best practice research clinical haematology,Q2,3.4
best practice research clinical obstetrics gynaecology,Q1,5.9
best practice research in clinical rheumatology,Q1,7
beton und stahlbetonbau,Q4,1
betriebswirtschaftliche forschung und praxis,Q4,0.2
beverage plant research,Q2,3.5
beverages,Q3,3
bewegungstherapie und gesundheitssport,Q4,0.3
beyoglu eye journal,Q4,0.9
beyond behavior,Q4,0.8
beytulhikme an international journal of philosophy,,0.1
bezmialem science,Q3,0.5
bible translator,,0.3
biblica,,0.2
biblical annals,,0.4
biblical interpretation a journal of contemporary approaches,,0.2
biblical theology bulletin,,0.2
biblio 3w barcelona,Q4,0.3
biblios revista de bibliotecologia y ciencias de la informacion,Q4,0.2
bibliotecas anales de investigacion,Q4,0.2
bibliotecas revista de la escuela de bibliotecologia documentacion e informacion,Q4,0.1
bibliothek forschung und praxis,Q4,0.1
bibliotheque d humanisme et renaissance,,<0.1
biblische zeitschrift,,0.3
biblos revista da faculdade de letras da universidade de coimbra,,<0.1
bid textos universitaris de biblioteconomia i documentacio,Q3,0.8
big data,Q2,2
big data and cognitive computing,Q1,5.3
big data mining and analytics,Q1,6.1
big data research,Q1,4.6
big data society,Q1,7.8
big earth data,Q2,3.6
bijdragen tot de taal land en volkenkunde,Q3,0.5
bilig,Q3,0.4
bilimname,,0.1
bilingual research journal,Q2,1.4
bilingualism language and cognition,Q1,2.4
bio algorithms and med systems,Q2,2.5
bio based and applied economics,Q2,1.9
bio design and manufacturing,Q1,7.9
bio medical materials and engineering,Q4,1.3
bio protocol,Q3,1.3
bioacoustics the international journal of animal sound and its recording,Q1,2.1
bioactive carbohydrates and dietary fibre,Q2,3.3
bioactive materials,Q1,23.6
bioagro,Q4,0.6
bioanalysis,Q3,2.1
bioarchaeology international,Q1,1.8
biocatalysis and agricultural biotechnology,Q2,4.6
biocatalysis and biotransformation,Q4,1.5
biocell,Q3,1.8
biochar,Q1,15.1
biochemia medica,Q3,2.1
biochemical and biophysical research communications,Q3,2.5
biochemical engineering journal,Q2,3.6
biochemical genetics,Q3,1.9
biochemical journal,Q2,3.9
biochemical pharmacology,Q1,6.5
biochemical society transactions,Q2,4.4
biochemical systematics and ecology,Q3,2.2
biochemistry,Q3,2.7
biochemistry and biophysics reports,Q3,3.3
biochemistry and cell biology,Q4,2.2
biochemistry and molecular biology education,Q3,1
biochemistry moscow,Q4,2.1
biochemistry moscow supplement series a membrane and cell biology,Q4,0.6
biochemistry moscow supplement series b biomedical chemistry,Q4,0.4
biochemistry research international,Q2,2.9
biochimica et biophysica acta bioenergetics,Q3,2.6
biochimica et biophysica acta biomembranes,Q3,2.4
biochimica et biophysica acta gene regulatory mechanisms,Q2,3.6
biochimica et biophysica acta general subjects,Q2,2.9
biochimica et biophysica acta molecular and cell biology of lipids,Q1,3.8
biochimica et biophysica acta molecular basis of disease,Q1,5
biochimica et biophysica acta molecular cell research,Q2,4.3
biochimica et biophysica acta proteins and proteomics,Q3,2.2
biochimica et biophysica acta reviews on cancer,Q1,11.2
biochimie,Q3,3.4
biochip journal,Q1,6.7
bioconjugate chemistry,Q1,4.5
biocontrol,Q1,2.5
biocontrol science and technology,Q3,1.1
biocybernetics and biomedical engineering,Q2,4.9
biodata mining,Q1,7.9
biodegradation,Q2,4.2
biodemography and social biology,Q3,1.4
biodesign research,Q1,7.2
biodiversity and conservation,Q1,3.7
biodiversity data journal,Q3,1.3
biodiversity informatics,Q1,3.6
biodrugs,Q1,8.5
bioelectricity,Q4,1.5
bioelectrochemistry,Q1,4.9
bioelectromagnetics,Q3,1.6
bioelectronic medicine,Q1,6.8
bioenergy research,Q3,3.3
bioengineering basel,Q2,4.4
bioengineering translational medicine,Q1,6.2
bioessays,Q1,3.3
bioethics,Q2,2.3
biofabrication,Q1,8.2
biofactors,Q1,5.2
biofilm,Q1,6.7
biofouling,Q2,2.5
biofuel research journal brj,Q2,7.5
biofuels bioproducts biorefining biofpr,Q2,3.8
biofuels uk,Q3,2.9
biogeochemistry,Q1,4.3
biogeosciences,Q1,4.5
biogeotechnics,Q1,15.9
biogerontology,Q1,5.3
biography an interdisciplinary quarterly,,0.2
bioimpacts,Q3,2.5
bioinformatics,Q1,5.5
bioinformatics advances,Q2,2.6
bioinformatics and biology insights,Q3,2
bioinorganic chemistry and applications,Q1,4.1
bioinspiration biomimetics,Q1,3.5
bioinspired biomimetic and nanobiomaterials,Q4,1.7
biointerphases,Q4,1.8
bioinvasions records,Q3,1.5
biolaw journal rivista di biodiritto,Q3,0.4
biolinguistics,,1.8
biologia,Q3,1.7
biologia futura,Q2,2.1
biologia plantarum,Q4,0.9
biological agriculture horticulture,Q2,1.9
biological bulletin,Q3,1.1
biological chemistry,Q3,2.5
biological conservation,Q1,5.1
biological control,Q1,4
biological cybernetics,Q3,2
biological invasions,Q2,2.7
biological journal of the linnean society,Q4,1.6
biological pharmaceutical bulletin,Q3,1.8
biological procedures online,Q1,4.9
biological psychiatry,Q1,10.3
biological psychiatry cognitive neuroscience and neuroimaging,Q1,4.9
biological psychiatry global open science,Q1,4
biological psychology,Q1,3.3
biological research,Q1,5.4
biological research for nursing,Q2,2
biological reviews,Q1,10.9
biological rhythm research,Q3,1
biological theory,Q1,2
biological trace element research,Q2,4.3
biologicals,Q3,2.1
biologicheskie membrany,Q4,0.1
biologics targets therapy,Q2,4.5
biology and environment proceedings of the royal irish academy,Q4,0.5
biology and fertility of soils,Q1,6.8
biology basel,Q1,4.3
biology bulletin,Q4,0.6
biology direct,Q1,5.5
biology letters,Q2,2.7
biology methods protocols,Q3,2.4
biology of reproduction,Q2,3.2
biology of sex differences,Q1,5.3
biology of sport,Q1,6.4
biology of the cell,Q3,2.7
