Journal,分区
chemistryselect,4区
chemkon,4区
chemmedchem,4区
chemnanomat,4区
chemoecology,4区
chemometrics and intelligent laboratory systems,2区
chemosensors,3区
chemotherapy,4区
chemphotochem,4区
chemphyschem,3区
chempluschem,4区
chemsuschem,2区
chemsystemschem,3区
chemtexts,3区
chest,1区
chiang mai journal of science,4区
chicago review,4区
child abuse neglect,2区
child abuse review,4区
child and adolescent mental health,3区
child and adolescent psychiatric clinics of north america,4区
child and adolescent psychiatry and mental health,2区
child and adolescent social work journal,4区
child care health and development,3区
child care in practice,4区
child development,1区
child development perspectives,1区
child family behavior therapy,4区
child family social work,3区
child indicators research,3区
child language teaching therapy,4区
child maltreatment,2区
child neuropsychology,4区
child psychiatry human development,3区
child welfare,4区
child youth care forum,4区
child youth services,4区
childhood a global journal of child research,3区
childhood and philosophy,4区
childhood in the past,4区
childhood obesity,4区
children and youth services review,3区
children basel,4区
children schools,4区
children society,4区
childrens geographies,3区
childrens health care,4区
childrens literature,4区
childrens literature association quarterly,4区
childrens literature in education,3区
childs nervous system,4区
chilean journal of agricultural animal sciences,4区
chilean journal of agricultural research,4区
chilean journal of statistics,4区
chimia,4区
china agricultural economic review,2区
china an international journal,4区
china and asia,4区
china and wto review,4区
china cdc weekly,4区
china communications,4区
china economic journal,3区
china economic quarterly international,2区
china economic review,2区
china finance review international,1区
china foundry,3区
china geology,2区
china information,2区
china journal,2区
china journal of accounting research,4区
china nonprofit review,4区
china ocean engineering,2区
china perspectives,4区
china petroleum processing petrochemical technology,4区
china quarterly,3区
china quarterly of international strategic studies,4区
china report,4区
china review an interdisciplinary journal on greater china,4区
china surface engineering,3区
china world economy,2区
chinese annals of mathematics series b,4区
chinese archaeology,4区
chinese chemical letters,1区
chinese clinical oncology,4区
chinese economy,4区
chinese geographical science,2区
chinese herbal medicines,2区
chinese historical review,4区
chinese journal of academic radiology,4区
chinese journal of aeronautics,1区
chinese journal of analytical chemistry,3区
chinese journal of applied linguistics,4区
chinese journal of cancer research,2区
chinese journal of catalysis,1区
chinese journal of chemical engineering,3区
chinese journal of chemical physics,3区
chinese journal of chemistry,1区
chinese journal of chromatography,3区
chinese journal of communication,2区
chinese journal of comparative law,4区
chinese journal of dental research,4区
chinese journal of electronics,3区
chinese journal of environmental law,4区
chinese journal of geophysics chinese edition,2区
chinese journal of inorganic chemistry,3区
chinese journal of integrative medicine,4区
chinese journal of international law,2区
chinese journal of international politics,1区
chinese journal of lasers zhongguo jiguang,2区
chinese journal of liquid crystals and displays,3区
chinese journal of mechanical engineering,3区
chinese journal of natural medicines,2区
chinese journal of organic chemistry,3区
chinese journal of physics,2区
chinese journal of physiology,4区
chinese journal of polymer science,2区
chinese journal of population resources and environment,3区
chinese journal of sociology,3区
chinese journal of structural chemistry,3区
chinese journal of traumatology,4区
chinese journal of urban and environmental studies,4区
chinese language and discourse,4区
chinese literature and thought today,4区
chinese management studies,4区
chinese medical journal,2区
chinese medicine,2区
chinese medicine and culture,4区
chinese optics,3区
chinese optics letters,2区
chinese physics b,3区
chinese physics c,2区
chinese physics letters,1区
chinese political science review,1区
chinese public administration review,4区
chinese science bulletin chinese,1区
chinese semiotic studies,4区
chinese sociological review,2区
chinese space science and technology,3区
chinese studies in history,4区
chirality,3区
chiropractic manual therapies,3区
chirurgia,4区
chirurgia italy,4区
chirurgie,4区
choreographic practices,3区
christian bioethics,4区
christian education journal,4区
christian higher education,4区
chromatographia,4区
chromatography,4区
chromosoma,3区
chromosome research,3区
chronic illness,4区
chronic obstructive pulmonary diseases journal of the copd foundation,3区
chronic respiratory disease,3区
chronica nova,4区
chronobiology international,4区
chung wai literary quarterly,4区
chungara revista de antropologia chilena,4区
church history,3区
church history and religious culture,3区
chuzhdoezikovo obuchenie foreign language teaching,4区
cian revista de historia de las universidades,4区
cic cuadernos de informacion y comunicacion,4区
ciencia amazonica,4区
ciencia e agrotecnologia,4区
ciencia e ingenieria,4区
ciencia e tecnica vitivinicola,4区
ciencia ergo sum,4区
ciencia florestal,4区
ciencia juridica,4区
ciencia politica,4区
ciencia rural,4区
ciencia saude coletiva,4区
ciencia unemi,4区
ciencias agronomicas,4区
ciencias marinas,4区
cienciauat,4区
cimexus,4区
cin computers informatics nursing,4区
cine documental,4区
cineaste,2区
cineforum,4区
cinej cinema journal,3区
cinema journal of philosophy and the moving image,4区
cinemas,4区
cinemas d amerique latine,4区
cinta de moebio,4区
circuit,4区
circuit world,4区
circuits systems and signal processing,3区
circulation,1区
circulation arrhythmia and electrophysiology,1区
circulation cardiovascular imaging,1区
circulation cardiovascular interventions,1区
circulation cardiovascular quality and outcomes,1区
circulation genomic and precision medicine,2区
circulation heart failure,1区
circulation journal,3区
circulation research,1区
circulo de linguistica aplicada a la comunicacion,4区
ciriec espana revista de economia publica social y cooperativa,4区
cirp annals manufacturing technology,3区
cirp journal of manufacturing science and technology,2区
cirugia cardiovascular,4区
cirugia espanola,4区
cirugia y cirujanos,4区
cis iron and steel review,4区
cithara essays in the judeo christian tradition,3区
cities,1区
citizenship studies,3区
city and environment interactions,3区
city community,3区
city society,4区
cityscape,4区
ciudad paz ando,4区
ciudad y territorio estudios territoriales cytet,4区
ciudades revista del instituto universitario de urbanistica de la universidad de valladolid,4区
civil and environmental engineering,4区
civil and environmental engineering reports,4区
civil engineering,4区
civil engineering and environmental systems,4区
civil engineering infrastructures journal ceij,4区
civil engineering journal stavebni obzor,4区
civil engineering journal tehran,2区
civil justice quarterly,4区
civil szemle,4区
civil war history,3区
civil wars,2区
cjc open,4区
cla journal college language association,4区
cladistics,1区
claridades revista de filosofia,4区
classical and quantum gravity,3区
classical antiquity,1区
classical journal,3区
classical philology,2区
classical quarterly,3区
classical receptions journal,3区
classical world,3区
classroom discourse,3区
clay minerals,4区
clays and clay minerals,4区
clcweb comparative literature and culture,3区
clean energy,4区
clean soil air water,4区
clean technologies,4区
clean technologies and environmental policy,4区
cleaner and responsible consumption,4区
cleaner engineering and technology,3区
cleaner environmental systems,2区
cleaner logistics and supply chain,3区
cleft palate craniofacial journal,4区
cleveland clinic journal of medicine,3区
climacteric,4区
climate,4区
climate and development,3区
climate change economics,4区
climate dynamics,2区
climate law,4区
climate of the past,2区
climate policy,2区
climate research,4区
climate risk management,1区
climate services,2区
climatic change,2区
clinica chimica acta,3区
clinica e investigacion en arteriosclerosis,4区
clinica e investigacion en ginecologia y obstetricia,4区
clinica y salud,4区
clinical advances in hematology oncology,4区
clinical advances in periodontics,4区
clinical anatomy,4区
clinical and applied thrombosis hemostasis,4区
clinical and experimental allergy,2区
clinical and experimental dental research,4区
clinical and experimental dermatology,4区
clinical and experimental emergency medicine,4区
clinical and experimental gastroenterology,4区
clinical and experimental health sciences,4区
clinical and experimental hepatology,4区
clinical and experimental hypertension,4区
clinical and experimental immunology,4区
clinical and experimental medicine,4区
clinical and experimental nephrology,4区
clinical and experimental obstetrics gynecology,4区
clinical and experimental ophthalmology,2区
clinical and experimental optometry,4区
clinical and experimental otorhinolaryngology,3区
clinical and experimental pediatrics,3区
clinical and experimental pharmacology and physiology,4区
clinical and experimental reproductive medicine cerm,4区
clinical and experimental rheumatology,3区
clinical and experimental vaccine research,4区
clinical and investigative medicine,4区
clinical and investigative orthodontics,4区
clinical and molecular hepatology,1区
clinical and translational allergy,2区
clinical and translational gastroenterology,3区
clinical and translational imaging,4区
clinical and translational medicine,2区
clinical and translational radiation oncology,3区
clinical autonomic research,3区
clinical biochemistry,3区
clinical biomechanics,4区
clinical breast cancer,3区
clinical cancer research,1区
clinical cardiology,3区
clinical case reports,4区
clinical case studies,4区
clinical chemistry,2区
clinical chemistry and laboratory medicine,2区
clinical child and family psychology review,1区
clinical child psychology and psychiatry,4区
clinical colorectal cancer,3区
clinical cosmetic and investigational dentistry,4区
clinical cosmetic and investigational dermatology,4区
clinical diabetology,4区
clinical drug investigation,3区
clinical dysmorphology,4区
clinical eeg and neuroscience,4区
clinical endocrinology,3区
clinical endoscopy,4区
clinical epidemiology,3区
clinical epidemiology and global health,4区
clinical epigenetics,2区
clinical epileptology,4区
clinical experimental metastasis,3区
clinical gastroenterology and hepatology,1区
clinical genetics,3区
clinical genitourinary cancer,3区
clinical gerontologist,3区
clinical hemorheology and microcirculation,4区
clinical hypertension,4区
clinical imaging,4区
clinical immunology,3区
clinical implant dentistry and related research,2区
clinical infectious diseases,2区
clinical interventions in aging,2区
clinical journal of gastroenterology,4区
clinical journal of oncology nursing,4区
clinical journal of pain,2区
clinical journal of sport medicine,3区
clinical journal of the american society of nephrology,1区
clinical kidney journal,3区
clinical laboratory,4区
clinical lactation,4区
clinical linguistics phonetics,4区
clinical lung cancer,3区
clinical lymphoma myeloma leukemia,4区
clinical management issues,4区
clinical medicine,4区
clinical medicine insights arthritis and musculoskeletal disorders,4区
clinical medicine insights cardiology,4区
clinical medicine insights case reports,4区
clinical medicine insights endocrinology and diabetes,3区
clinical medicine insights oncology,4区
clinical medicine insights pediatrics,4区
clinical medicine research,4区
clinical microbiology and infection,2区
clinical microbiology reviews,1区
clinical nephrology,4区
clinical neurology and neurosurgery,4区
clinical neuropathology,4区
clinical neuropharmacology,4区
clinical neurophysiology,3区
clinical neurophysiology practice,4区
clinical neuropsychiatry,4区
clinical neuropsychologist,3区
clinical neuroradiology,3区
clinical nuclear medicine,3区
clinical nurse specialist,4区
clinical nursing research,4区
clinical nutrition,1区
clinical nutrition espen,3区
clinical obesity,4区
clinical obstetrics and gynecology,4区
clinical oncology,3区
clinical ophthalmology,4区
clinical optometry,4区
clinical oral implants research,1区
clinical oral investigations,2区
clinical orthopaedics and related research,2区
clinical otolaryngology,4区
clinical parkinsonism related disorders,4区
clinical pathology,4区
clinical pediatric endocrinology,4区
clinical pediatrics,4区
clinical pharmacokinetics,2区
clinical pharmacology advances and applications,4区
clinical pharmacology in drug development,4区
clinical pharmacology therapeutics,2区
clinical physiology and functional imaging,4区
clinical practice in pediatric psychology,4区
clinical proteomics,3区
clinical psychological science,2区
clinical psychologist,4区
clinical psychology and special education,4区
clinical psychology psychotherapy,3区
clinical psychology review,1区
clinical psychology science and practice,2区
clinical psychopharmacology and neuroscience,4区
clinical radiology,4区
clinical rehabilitation,3区
clinical research in cardiology,2区
clinical respiratory journal,4区
clinical reviews in allergy immunology,1区
clinical reviews in bone and mineral metabolism,4区
clinical rheumatology,3区
clinical science,2区
clinical simulation in nursing,3区
clinical social work and health intervention,4区
clinical social work journal,3区
clinical spine surgery,4区
clinical supervisor,3区
clinical teacher,4区
clinical therapeutics,4区
clinical toxicology,3区
clinical translational immunology,3区
clinical translational oncology,4区
clinical transplantation,4区
clinical trials,3区
clinicoeconomics and outcomes research,4区
clinics,4区
clinics and practice,4区
clinics and research in hepatology and gastroenterology,4区
clinics in chest medicine,3区
clinics in colon and rectal surgery,4区
clinics in dermatology,4区
clinics in geriatric medicine,3区
clinics in laboratory medicine,4区
clinics in liver disease,4区
clinics in orthopedic surgery,3区
clinics in perinatology,2区
clinics in plastic surgery,3区
clinics in podiatric medicine and surgery,4区
clinics in shoulder and elbow,3区
clinics in sports medicine,4区
clio a journal of literature history and the philosophy of history,4区
clio america,4区
cliometrica,1区
clocks sleep,4区
clothing and textiles research journal,4区
clothing cultures,4区
cluster computing the journal of networks software tools and applications,3区
cmc computers materials continua,4区
cmes computer modeling in engineering sciences,4区
cns drugs,1区
cns neurological disorders drug targets,4区
cns neuroscience therapeutics,2区
cns spectrums,3区
co herencia,4区
coaching an international journal of theory research and practice,4区
coastal engineering,2区
coastal engineering journal,4区
coastal management,4区
coatings,3区
cochlear implants international,4区
cochrane database of systematic reviews,2区
codas,4区
codesign international journal of cocreation in design and the arts,1区
codex aquilarensis,4区
codrul cosminului,4区
cogent arts humanities,2区
cogent business management,4区
cogent economics finance,3区
cogent education,4区
cogent engineering,4区
cogent food agriculture,4区
cogent psychology,4区
cogent social sciences,4区
cognitextes,4区
cognition,2区
cognition and instruction,2区
cognition emotion,3区
cognition technology work,3区
cognitive affective behavioral neuroscience,3区
cognitive and behavioral neurology,4区
cognitive and behavioral practice,3区
cognitive behaviour therapist,4区
cognitive behaviour therapy,2区
cognitive computation,3区
cognitive computation and systems,4区
cognitive development,3区
cognitive linguistic studies,3区
cognitive linguistics,1区
cognitive neurodynamics,4区
cognitive neuropsychiatry,4区
cognitive neuropsychology,3区
cognitive neuroscience,4区
cognitive processing,4区
cognitive psychology,1区
cognitive research principles and implications,2区
cognitive science,2区
cognitive semantics,3区
cognitive studies etudes cognitives,3区
cognitive systems research,4区
cognitive therapy and research,3区
coke and chemistry,4区
cold regions science and technology,2区
cold spring harbor perspectives in biology,1区
cold spring harbor perspectives in medicine,2区
cold war history,3区
coleopterists bulletin,4区
collabra psychology,3区
collectanea christiana orientalia,3区
collectanea mathematica,3区
collection and curation,4区
collection management,4区
collectivus revista de ciencias sociales,4区
college composition and communication,4区
college english,3区
college literature,4区
college research libraries,3区
college undergraduate libraries,4区
collegian,4区
collnet journal of scientometrics and information management,4区
colloid and interface science communications,3区
colloid and polymer science,3区
colloid journal,4区
colloids and interfaces,4区
colloids and surfaces a physicochemical and engineering aspects,2区
colloids and surfaces b biointerfaces,2区
colloquia germanica,4区
colloquia humanistica,4区
colloquium mathematicum,4区
colmena revista de la universidad autonoma del estado de mexico,4区
colombia internacional,4区
colombia medica,4区
colombian applied linguistics journal,4区
colonial latin american review,3区
coloproctology,4区
coloquio letras,4区
color research and application,3区
coloration technology,4区
colorectal disease,2区
columbia journal of law and social problems,4区
columbia journal of transnational law,3区
columbia law review,1区
combinatorial chemistry high throughput screening,4区
combinatorica,2区
combinatorics probability computing,3区
combustion and flame,1区
combustion explosion and shock waves,4区
combustion science and technology,4区
combustion theory and modelling,4区
comedia performance,2区
comics grid journal of comics scholarship,3区
comitatus a journal of medieval and renaissance studies,3区
commentarii mathematici helvetici,1区
commentationes mathematicae universitatis carolinae,4区
comments on inorganic chemistry,3区
common knowledge,4区
common market law review,3区
commonwealth comparative politics,4区
commonwealth journal of local governance,4区
communicable diseases intelligence,4区
communicare journal for communication sciences in southern africa,4区
communicatio south african journal for communication theory and research,4区
communication and critical cultural studies,2区
communication and the public,2区
communication culture critique,2区
communication disorders quarterly,4区
communication education,4区
communication law and policy,4区
communication methods and measures,1区
communication monographs,2区
communication quarterly,2区
communication reports,3区
communication research,1区
communication research and practice,3区
communication research reports,3区
communication review,2区
communication sciences and disorders csd,4区
communication society spain,2区
communication sport,1区
communication studies,3区
communication teacher,4区
communication theory,1区
communication today,4区
communications biology,1区
communications chemistry,1区
communications earth environment,1区
communications european journal of communication research,3区
communications faculty of sciences university of ankara series a1 mathematics and statistics,4区
communications for statistical applications and methods,4区
communications in algebra,3区
communications in analysis and geometry,4区
communications in analysis and mechanics,4区
communications in applied and industrial mathematics,4区
communications in applied mathematics and computational science,4区
communications in combinatorics and optimization,4区
communications in computational physics,3区
communications in contemporary mathematics,2区
communications in information and systems,4区
communications in information literacy,4区
communications in mathematical biology and neuroscience,4区
communications in mathematical physics,2区
communications in mathematical sciences,4区
communications in mathematics and applications,4区
communications in mathematics and statistics,3区
communications in nonlinear science and numerical simulation,2区
communications in number theory and physics,2区
communications in partial differential equations,2区
communications in soil science and plant analysis,4区
communications in statistics simulation and computation,4区
communications in statistics theory and methods,4区
communications in theoretical physics,3区
communications in transportation research,1区
communications materials,2区
communications medicine,2区
communications of the acm,3区
communications of the association for information systems,4区
communications of the korean mathematical society,4区
communications on applied mathematics and computation,4区
communications on pure and applied analysis,4区
communications on pure and applied mathematics,1区
communications physics,1区
communio viatorum,4区
communiquer,4区
communist and post communist studies,3区
communitas,4区
community college journal of research and practice,4区
community college review,4区
community dental health,4区
community dentistry and oral epidemiology,3区
community development,4区
community development journal,4区
community ecology,4区
community health equity research policy,4区
community mental health journal,4区
community work family,4区
company and securities law journal,4区
comparatist,4区
comparative american studies,4区
comparative and continental philosophy,4区
comparative and international law journal of southern africa cilsa,4区
comparative biochemistry and physiology a molecular integrative physiology,3区
comparative biochemistry and physiology b biochemistry molecular biology,4区
comparative biochemistry and physiology c toxicology pharmacology,3区
comparative biochemistry and physiology d genomics proteomics,3区
comparative cognition behavior reviews,4区
comparative critical studies,3区
comparative cytogenetics,4区
comparative drama,3区
comparative economic research central and eastern europe,4区
comparative economic studies,3区
comparative education,1区
comparative education review,4区
comparative european politics,2区
comparative exercise physiology,4区
comparative immunology microbiology and infectious diseases,3区
comparative legal history,3区
comparative literature,2区
comparative literature east west,2区
comparative literature studies,3区
comparative medicine,4区
comparative migration studies,1区
comparative parasitology,4区
comparative philosophy an international journal of constructive engagement of distinct approaches toward world philosophy,3区
comparative political studies,1区
comparative politics,2区
comparative population studies,4区
comparative sociology,4区
comparative southeast european studies,4区
comparative studies in society and history,1区
comparative studies of south asia africa and the middle east,3区
compare a journal of comparative and international education,3区
compel the international journal for computation and mathematics in electrical and electronic engineering,4区
competition change,2区
competitiveness review,4区
complementary medicine research,4区
complementary therapies in clinical practice,3区
complementary therapies in medicine,3区
complex analysis and operator theory,4区
complex intelligent systems,3区
complex manifolds,4区
complex systems,4区
complex variables and elliptic equations,4区
complexity,4区
complutense journal of english studies,3区
complutum,4区
composite interfaces,4区
composite structures,2区
composites and advanced materials,4区
composites communications,2区
composites mechanics computations applications,4区
composites part a applied science and manufacturing,2区
composites part b engineering,1区
composites part c open access,3区
composites research,4区
composites science and technology,2区
composites theory and practice,4区
compositio mathematica,1区
comprehensive child and adolescent nursing building evidence for practice,4区
comprehensive physiology,2区
comprehensive psychiatry,2区
comprehensive psychoneuroendocrinology,4区
comprehensive reviews in food science and food safety,1区
comptabilite controle audit,4区
comptes rendus biologies,4区
comptes rendus chimie,4区
comptes rendus de l academie bulgare des sciences,4区
comptes rendus geoscience,4区
comptes rendus mathematique,4区
comptes rendus mecanique,4区
comptes rendus palevol,4区
comptes rendus physique,4区
computability the journal of the association cie,4区
computation,4区
computational and mathematical methods,4区
computational and mathematical organization theory,4区
computational and structural biotechnology journal,3区
computational and theoretical chemistry,3区
computational applied mathematics,3区
computational biology and chemistry,4区
computational complexity,4区
computational condensed matter,4区
computational economics,4区
computational geometry theory and applications,4区
computational geosciences,3区
computational intelligence,4区
computational linguistics,2区
computational management science,4区
computational materials science,3区
computational mathematics and mathematical physics,4区
computational mechanics,2区
computational methods and function theory,4区
computational methods for differential equations,4区
computational methods in applied mathematics,4区
computational optimization and applications,3区
computational particle mechanics,3区
computational statistics,4区
computational statistics data analysis,3区
computational thermal sciences,4区
computational toxicology,4区
computational urban science,4区
computational visual media,2区
computer,4区
computer aided civil and infrastructure engineering,1区
computer aided design,3区
computer aided geometric design,4区
computer animation and virtual worlds,4区
computer applications in engineering education,4区
computer assisted language learning,1区
computer assisted surgery,4区
computer communications,3区
computer graphics forum,4区
computer journal,4区
computer law security review,3区
computer methods and programs in biomedicine,2区
computer methods in applied mechanics and engineering,1区
computer methods in biomechanics and biomedical engineering,4区
computer methods in biomechanics and biomedical engineering imaging and visualization,4区
computer music journal,4区
computer networks,3区
computer optics,4区
computer physics communications,2区
computer science agh,4区
computer science and information systems,4区
computer science education,2区
computer science journal of moldova,4区
computer science review,1区
computer speech and language,3区
computer standards interfaces,2区
computer supported cooperative work the journal of collaborative computing and work practices,3区
computer vision and image understanding,3区
computerized medical imaging and graphics,2区
computers,4区
computers and concrete,4区
computers and education open,3区
computers and electronics in agriculture,1区
computers and geotechnics,1区
computers chemical engineering,2区
computers education,1区
computers electrical engineering,3区
computers environment and urban systems,1区
computers fluids,3区
computers geosciences,2区
computers graphics uk,3区
computers in biology and medicine,2区
computers in human behavior,1区
computers in human behavior reports,2区
computers in industry,1区
computers in the schools,4区
computers industrial engineering,2区
computers mathematics with applications,2区
computers operations research,2区
computers security,2区
computers structures,2区
computing,4区
computing and informatics,4区
computing in science engineering,4区
comunicacio revista de recerca i d analisi,4区
comunicacion y hombre,4区
comunicacion y medios,4区
comunicacion y sociedad guadalajara,4区
comunicazione filosofica,4区
comunidad y salud,4区
con a de animacion,3区
con textos kantianos international journal of philosophy,4区
concentric literary and cultural studies,3区
concentric studies in linguistics,4区
concepts in magnetic resonance part a,4区
concrete operators,4区
concurrency and computation practice experience,4区
condensed matter,4区
condensed matter physics,4区
configurations,4区
confins revue franco bresilienne de geographie revista franco brasileira de geografia,4区
conflict and health,2区
conflict management and peace science,3区
conflict resolution quarterly,4区
conflict security development,3区
conflict studies quarterly,4区
confluencia revista hispanica de cultura y literatura,4区
confluenze rivista di studi iberoamericani,4区
conformal geometry and dynamics,4区
congenital anomalies,4区
congenital heart disease,4区
conhecimento diversidade,4区
conimbriga revista de arqueologia,3区
connaissance des arts,4区
connecticut insurance law journal,4区
connection science,3区
connectist istanbul university journal of communication sciences,4区
connective tissue research,3区
consciousness and cognition,3区
conservar patrimonio,4区
conservation and management of archaeological sites,4区
conservation biology,1区
conservation genetics,3区
conservation genetics resources,4区
conservation letters,1区
conservation physiology,3区
conservation science and practice,3区
conservation science in cultural heritage,4区
conservation society,4区
constelaciones,4区
constelaciones revista de teoria critica,4区
constellations an international journal of critical and democratic theory,3区
constitutional political economy,3区
constraints,4区
construction and building materials,1区
construction economics and building,4区
construction history international journal of the construction history society,4区
construction innovation england,3区
construction management and economics,4区
constructions and frames,2区
constructive approximation,3区
constructive mathematical analysis,3区
constructivist foundations,3区
consulting psychology journal practice and research,4区
consumption markets culture,4区
contabilidad y negocios,4区
contabilidade gestao e governanca,4区
contact dermatitis,1区
contact lens anterior eye,3区
contaduria universidad de antioquia,4区
contagion journal of violence mimesis and culture,4区
contemporanea,4区
contemporanea revista de sociologia da ufscar,4区
contemporary accounting research,3区
contemporary asia arbitration journal,4区
contemporary british history,2区
contemporary buddhism,4区
contemporary clinical dentistry,4区
contemporary clinical trials,3区
contemporary clinical trials communications,4区
contemporary diagnostic radiology,4区
contemporary drug problems,3区
contemporary economic policy,3区
contemporary economics,4区
contemporary educational psychology,1区
contemporary educational technology,4区
contemporary europe sovremennaya evropa,4区
contemporary european history,1区
contemporary family therapy,4区
contemporary french and francophone studies,4区
contemporary islam dynamics of muslim life,2区
contemporary issues in early childhood,4区
contemporary italian politics,2区
contemporary literature,4区
contemporary mathematics,4区
contemporary music review,3区
contemporary nurse,4区
contemporary pacific,4区
contemporary physics,3区
contemporary political theory,3区
contemporary politics,2区
contemporary pragmatism,4区
contemporary problems of ecology,4区
contemporary psychoanalysis,3区
contemporary review of the middle east,4区
contemporary security policy,1区
contemporary social science,3区
contemporary sociology a journal of reviews,4区
contemporary south asia,4区
contemporary southeast asia,3区
contemporary theatre review,3区
contemporary voice of dalit,4区
contemporary womens writing,3区
contexto,4区
contexto revista de la facultad de arquitectura universidad autonoma de nuevo leon,4区
contexto revista do programa de pos graduacao em letras,4区
contextos educativos revista de educacion,4区
continental philosophy review,2区
continental shelf research,3区
continuity and change,2区
continuum journal of media cultural studies,3区
continuum mechanics and thermodynamics,4区
contraception,2区
contraception and reproductive medicine,3区
contrastive pragmatics,2区
contributions of the astronomical observatory skalnate pleso,4区
contributions to discrete mathematics,4区
contributions to geophysics and geodesy,4区
contributions to indian sociology,4区
contributions to mineralogy and petrology,2区
contributions to plasma physics,4区
contributions to the history of concepts,3区
contributions to zoology,2区
control engineering and applied informatics,4区
control engineering practice,2区
control theory and technology,4区
convergence the international journal of research into new media technologies,2区
convergencia revista de ciencias sociales,4区
convivium,4区
convivium exchanges and interactions in the arts of medieval europe byzantium and the mediterranean,3区
cooperation and conflict,2区
coordenadas revista de historia local y regional,4区
coordination chemistry reviews,1区
copd journal of chronic obstructive pulmonary disease,4区
cor et vasa,4区
coral reefs,2区
cordis revista eletronica de historia social da cidade,4区
cormac mccarthy journal,3区
cornea,4区
cornell hospitality quarterly,4区
cornell international law journal,4区
cornell law review,3区
coronary artery disease,4区
corpora,3区
corporate communications,3区
corporate governance an international review,3区
corporate governance the international journal of business in society,2区
corporate reputation review,4区
corporate social responsibility and environmental management,2区
corpus linguistics and linguistic theory,2区
corpus pragmatics,2区
correspondances en metabolismes hormones diabetes et nutrition,4区
corrosion,4区
corrosion communications,4区
corrosion engineering science and technology,4区
corrosion reviews,4区
corrosion science,1区
corrosion science and technology korea,4区
corsalud,4区
cortex,2区
corvinus journal of sociology and social policy,4区
cosmetics,4区
cosmic research,4区
cosmopolitan civil societies an interdisciplinary journal,4区
cosmos and history the journal of natural and social philosophy,4区
cost effectiveness and resource allocation,4区
costume the journal of the costume society,3区
counseling and values,4区
counseling psychologist,3区
counselling psychology quarterly,3区
counselling psychotherapy research,4区
counselor education and supervision,4区
countertext a journal for the study of the post literary,4区
couple and family psychology research and practice,4区
coupled systems mechanics,4区
cpt pharmacometrics systems pharmacology,3区
cpu e revista de investigacion educativa,4区
cr the new centennial review,4区
craft research,4区
cranio the journal of craniomandibular sleep practice,4区
craniomaxillofacial trauma reconstruction,4区
creative industries journal,4区
creative nursing,4区
creativity and innovation management,3区
creativity research journal,2区
crescent journal of medical and biological sciences,4区
cretaceous research,3区
crime and justice a review of research,2区
crime delinquency,3区
crime law and social change,4区
crime media culture,2区
crime prevention community safety,4区
crime science,2区
criminal behaviour and mental health,4区
criminal justice and behavior,2区
criminal justice studies,3区
criminal law and philosophy,3区
criminal law forum,4区
criminal law journal,4区
criminologie,4区
criminology,1区
criminology criminal justice,3区
criminology public policy,1区
crisis the journal of crisis intervention and suicide prevention,4区
crispr journal,4区
cristianesimo nella storia,4区
critica d arte,4区
critica letteraria,4区
critica revista hispanoamericana de filosofia,4区
critical african studies,2区
critical and radical social work,3区
critical arts south north cultural and media studies,4区
critical asian studies,3区
critical care,1区
critical care and resuscitation,4区
critical care clinics,3区
critical care medicine,1区
critical care nurse,4区
critical care nursing clinics of north america,4区
critical care nursing quarterly,4区
critical care research and practice,4区
critical criminology,3区
critical discourse studies,2区
critical education,4区
critical finance review,4区
critical historical studies,4区
critical horizons,3区
critical inquiry,2区
critical perspectives on accounting,1区
critical perspectives on international business,4区
critical philosophy of race,2区
critical policy studies,3区
critical public health,3区
critical quarterly,3区
critical research on religion,3区
critical review,4区
critical review of international social and political philosophy,3区
critical reviews in analytical chemistry,3区
critical reviews in biochemistry and molecular biology,2区
critical reviews in biotechnology,2区
critical reviews in clinical laboratory sciences,2区
critical reviews in environmental science and technology,1区
critical reviews in eukaryotic gene expression,4区
critical reviews in food science and nutrition,2区
critical reviews in immunology,4区
critical reviews in microbiology,2区
critical reviews in oncology hematology,2区
critical reviews in plant sciences,2区
critical reviews in solid state and materials sciences,2区
critical reviews in therapeutic drug carrier systems,4区
critical reviews in toxicology,2区
critical social policy,2区
critical sociology,3区
critical studies in education,2区
critical studies in fashion beauty,3区
critical studies in media communication,2区
critical studies in mens fashion,4区
critical studies in television,2区
critical studies on security,3区
critical studies on terrorism,2区
critical survey,3区
criticism a quarterly for literature and the arts,4区
criticon,3区
critique,4区
critique of anthropology,3区
critique studies in contemporary fiction,3区
croatian and comparative public administration,4区
croatian economic survey,4区
croatian journal of education hrvatski casopis za odgoj i obrazovanje,4区
croatian journal of forest engineering,2区
croatian journal of philosophy,4区
croatian medical journal,4区
croatian operational research review,4区
croatian yearbook of european law policy,4区
croatica chemica acta,4区
crohns colitis 360,4区
crop breeding and applied biotechnology,4区
crop forage turfgrass management,4区
crop journal,1区
crop pasture science,4区
crop protection,2区
crop science,3区
cross cultural research,3区
cross cultural strategic management,4区
cross currents,4区
crustaceana,4区
cryobiology,3区
cryogenics,3区
cryoletters,4区
cryosphere,2区
cryptogamie algologie,4区
cryptogamie bryologie,4区
cryptogamie mycologie,3区
cryptography,4区
cryptography and communications discrete structures boolean functions and sequences,3区
cryptologia,4区
crystal growth design,2区
crystal research and technology,4区
crystallography reports,4区
crystallography reviews,3区
crystals,4区
